JA Morkel:Eden Gardens:119:1:1.0
JR Hopes:Punjab Cricket Association Stadium, Mohali:23:-1:1.0
KP Pietersen:Feroz Shah Kotla:33:-1:1.0
CJ Ferguson:Wankhede Stadium:53:-1:1.0
DL Vettori:OUTsurance Oval:108:-1:1.0
PR Shah:Rajiv Gandhi International Stadium, Uppal:116:-1:1.0
X Thalaivan Sargunam:MA Chidambaram Stadium, Chepauk:93:-1:1.0
M Manhas:OUTsurance Oval:94:-1:1.0
A Mishra:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:112:-1:1.0
RA Jadeja:Nehru Stadium:120:4:1.0
Harmeet Singh:Eden Gardens:118:-1:1.0
YV Takawale:Sawai Mansingh Stadium:120:4:1.0
AN Ahmed:M Chinnaswamy Stadium:119:-1:1.0
BMAJ Mendis:Rajiv Gandhi International Stadium, Uppal:89:-1:1.0
Y Venugopal Rao:Sawai Mansingh Stadium:119:0:1.0
JP Duminy:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:96:-1:1.0
RR Raje:Sawai Mansingh Stadium:116:1:1.0
DJ Hussey:Eden Gardens:115:-1:1.0
MG Johnson:M Chinnaswamy Stadium:120:4:1.0
SV Samson:Brabourne Stadium:77:-1:1.0
M Vohra:Punjab Cricket Association Stadium, Mohali:52:-1:1.0
PD Collingwood:Feroz Shah Kotla:116:-1:1.0
TL Suman:MA Chidambaram Stadium, Chepauk:117:1:1.0
CH Morris:Brabourne Stadium:120:-1:1.0
S Gopal:Sardar Patel Stadium, Motera:119:1:1.0
DB Ravi Teja:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:110:-1:1.0
R Sathish:Sawai Mansingh Stadium:114:0:1.0
IK Pathan:Feroz Shah Kotla:120:0:1.0
AC Gilchrist:MA Chidambaram Stadium, Chepauk:28:-1:1.0
M Morkel:Vidarbha Cricket Association Stadium, Jamtha:117:1:1.0
ST Jayasuriya:Sawai Mansingh Stadium:66:-1:1.0
BB Samantray:Rajiv Gandhi International Stadium, Uppal:111:-1:1.0
D Wiese:JSCA International Stadium Complex:110:-1:1.0
DR Martyn:M Chinnaswamy Stadium:98:-1:1.0
Anureet Singh:Feroz Shah Kotla:120:6:1.0
A Uniyal:Sardar Patel Stadium, Motera:119:1:1.0
A Chopra:Eden Gardens:36:-1:1.0
LMP Simmons:Wankhede Stadium:75:-1:1.0
D du Preez:SuperSport Park:116:-1:1.0
PV Tambe:Sardar Patel Stadium, Motera:120:1:1.0
RE van der Merwe:Feroz Shah Kotla:20:-1:1.0
KV Sharma:Rajiv Gandhi International Stadium, Uppal:119:-1:1.0
Mohammad Ashraful:SuperSport Park:27:-1:1.0
S Narwal:Shaheed Veer Narayan Singh International Stadium:110:-1:1.0
B Akhil:MA Chidambaram Stadium, Chepauk:117:1:1.0
TD Paine:Wankhede Stadium:26:-1:1.0
KB Arun Karthik:Rajiv Gandhi International Stadium, Uppal:108:-1:1.0
KA Pollard:Brabourne Stadium:120:-1:1.0
SR Watson:Brabourne Stadium:118:1:1.0
NLTC Perera:Rajiv Gandhi International Stadium, Uppal:120:-1:1.0
R McLaren:Punjab Cricket Association Stadium, Mohali:115:-1:1.0
VR Aaron:Feroz Shah Kotla:119:1:1.0
GC Smith:De Beers Diamond Oval:74:-1:1.0
AA Chavan:Sawai Mansingh Stadium:118:1:1.0
RV Uthappa:Wankhede Stadium:91:-1:1.0
RG More:Eden Gardens:119:1:1.0
AC Blizzard:Dr DY Patil Sports Academy:15:-1:1.0
DJ Muthuswami:Feroz Shah Kotla:110:-1:1.0
MEK Hussey:Eden Gardens:66:-1:1.0
JDP Oram:New Wanderers Stadium:104:-1:1.0
MJ McClenaghan:Wankhede Stadium:117:1:1.0
SS Tiwary:Brabourne Stadium:100:-1:1.0
NM Coulter-Nile:Feroz Shah Kotla:115:1:1.0
RJ Harris:Vidarbha Cricket Association Stadium, Jamtha:120:1:1.0
DJ Bravo:Brabourne Stadium:54:-1:1.0
Azhar Mahmood:MA Chidambaram Stadium, Chepauk:72:-1:1.0
BJ Hodge:Nehru Stadium:108:-1:1.0
Parvez Rasool:Subrata Roy Sahara Stadium:118:1:1.0
B Kumar:Wankhede Stadium:104:-1:1.0
GJ Bailey:M Chinnaswamy Stadium:70:-1:1.0
B Sumanth:Vidarbha Cricket Association Stadium, Jamtha:115:1:1.0
R Dravid:Sawai Mansingh Stadium:10:-1:1.0
Y Nagar:Feroz Shah Kotla:102:-1:1.0
SK Trivedi:Dr DY Patil Sports Academy:98:-1:1.0
RP Singh:Sawai Mansingh Stadium:115:-1:1.0
SB Styris:Sawai Mansingh Stadium:74:-1:1.0
PJ Sangwan:OUTsurance Oval:119:1:1.0
SJ Srivastava:Punjab Cricket Association Stadium, Mohali:119:1:1.0
DS Lehmann:Feroz Shah Kotla:46:-1:1.0
LA Carseldine:De Beers Diamond Oval:99:1:1.0
Yuvraj Singh:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:97:-1:1.0
P Dogra:Punjab Cricket Association Stadium, Mohali:103:-1:1.0
SN Thakur:Feroz Shah Kotla:119:1:1.0
IR Jaggi:Rajiv Gandhi International Stadium, Uppal:61:-1:1.0
MS Dhoni:Shaheed Veer Narayan Singh International Stadium:109:-1:1.0
TM Dilshan:OUTsurance Oval:55:-1:1.0
CA Lynn:Sharjah Cricket Stadium:69:-1:1.0
GH Vihari:Rajiv Gandhi International Stadium, Uppal:63:-1:1.0
RV Gomez:Nehru Stadium:112:-1:1.0
JJ Bumrah:Dubai International Cricket Stadium:119:1:1.0
S Anirudha:Dr DY Patil Sports Academy:120:2:1.0
Z Khan:Dubai International Cricket Stadium:104:-1:1.0
A Kumble:Kingsmead:115:-1:1.0
MC Juneja:Feroz Shah Kotla:81:-1:1.0
Jaskaran Singh:Barabati Stadium:120:2:1.0
SW Tait:Holkar Cricket Stadium:110:1:1.0
R Ashwin:M Chinnaswamy Stadium:113:-1:1.0
SA Abbott:M Chinnaswamy Stadium:111:-1:1.0
CL White:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:119:1:1.0
NJ Rimmington:Dr DY Patil Sports Academy:119:1:1.0
YK Pathan:Eden Gardens:48:-1:1.0
D Kalyankrishna:Rajiv Gandhi International Stadium, Uppal:115:-1:1.0
AM Rahane:Brabourne Stadium:42:-1:1.0
R Bishnoi:Kingsmead:28:-1:1.0
PA Reddy:Sawai Mansingh Stadium:5:-1:1.0
KM Jadhav:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:120:4:1.0
D Salunkhe:Feroz Shah Kotla:120:0:1.0
Mashrafe Mortaza:New Wanderers Stadium:120:0:1.0
M Vijay:Feroz Shah Kotla:54:-1:1.0
SP Goswami:Sawai Mansingh Stadium:120:1:1.0
VS Malik:Brabourne Stadium:114:-1:1.0
Sohail Tanvir:Dr DY Patil Sports Academy:91:-1:1.0
TR Birt:Nehru Stadium:112:-1:1.0
SB Bangar:Sawai Mansingh Stadium:98:-1:1.0
AD Mascarenhas:Punjab Cricket Association Stadium, Mohali:101:-1:1.0
SB Wagh:Wankhede Stadium:100:-1:1.0
NV Ojha:De Beers Diamond Oval:3:-1:1.0
FY Fazal:Eden Gardens:117:-1:1.0
Mohammad Hafeez:MA Chidambaram Stadium, Chepauk:88:-1:1.0
Sunny Singh:Punjab Cricket Association Stadium, Mohali:117:0:1.0
K Cooper:Feroz Shah Kotla:117:-1:1.0
AS Raut:De Beers Diamond Oval:104:-1:1.0
PP Chawla:Eden Gardens:117:1:1.0
LA Pomersbach:New Wanderers Stadium:16:1:1.0
SS Iyer:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:69:-1:1.0
AP Dole:Vidarbha Cricket Association Stadium, Jamtha:111:-1:1.0
AS Yadav:Rajiv Gandhi International Stadium, Uppal:118:-1:1.0
S Dhawan:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:42:-1:1.0
HV Patel:JSCA International Stadium Complex:115:1:1.0
DNT Zoysa:Rajiv Gandhi International Stadium, Uppal:97:-1:1.0
S Aravind:JSCA International Stadium Complex:120:0:1.0
DE Bollinger:Vidarbha Cricket Association Stadium, Jamtha:120:2:1.0
SE Marsh:MA Chidambaram Stadium, Chepauk:47:1:1.0
CA Ingram:Feroz Shah Kotla:61:1:1.0
SC Ganguly:Wankhede Stadium:22:-1:1.0
A Flintoff:St George's Park:119:1:1.0
K Goel:Punjab Cricket Association Stadium, Mohali:81:-1:1.0
MV Boucher:Kingsmead:79:-1:1.0
AD Mathews:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:119:1:1.0
A Mithun:M Chinnaswamy Stadium:120:1:1.0
DJ Jacobs:Rajiv Gandhi International Stadium, Uppal:31:-1:1.0
R Vinay Kumar:Dr DY Patil Sports Academy:99:1:1.0
DJ Hooda:Sardar Patel Stadium, Motera:68:-1:1.0
MN Samuels:Wankhede Stadium:98:-1:1.0
MK Tiwary:Eden Gardens:85:-1:1.0
S Sohal:Feroz Shah Kotla:88:-1:1.0
BE Hendricks:Punjab Cricket Association Stadium, Mohali:119:-1:1.0
AC Thomas:Wankhede Stadium:102:0:1.0
MS Gony:Nehru Stadium:120:0:1.0
S Chanderpaul:M Chinnaswamy Stadium:14:-1:1.0
RJ Quiney:Kingsmead:7:-1:1.0
DA Warner:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:26:1:1.0
EJG Morgan:Eden Gardens:46:-1:1.0
P Parameswaran:M Chinnaswamy Stadium:119:1:1.0
KC Sangakkara:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:75:-1:1.0
AT Rayudu:Brabourne Stadium:114:2:1.0
SR Tendulkar:Sawai Mansingh Stadium:77:-1:1.0
BCJ Cutting:Sardar Patel Stadium, Motera:117:0:1.0
M Rawat:Dr DY Patil Sports Academy:95:-1:1.0
RR Rossouw:M Chinnaswamy Stadium:5:-1:1.0
MN van Wyk:St George's Park:120:6:1.0
AUK Pathan:M Chinnaswamy Stadium:105:-1:1.0
F du Plessis:Shaheed Veer Narayan Singh International Stadium:92:-1:1.0
AD Russell:Eden Gardens:72:-1:1.0
AA Bilakhia:New Wanderers Stadium:115:-1:1.0
Imran Tahir:Punjab Cricket Association Stadium, Mohali:108:-1:1.0
VH Zol:M Chinnaswamy Stadium:49:-1:1.0
S Badrinath:Eden Gardens:120:-1:1.0
NL McCullum:Sawai Mansingh Stadium:120:2:1.0
M Ntini:Sawai Mansingh Stadium:114:-1:1.0
BJ Rohrer:M Chinnaswamy Stadium:85:-1:1.0
I Malhotra:Rajiv Gandhi International Stadium, Uppal:118:1:1.0
WA Mota:New Wanderers Stadium:97:-1:1.0
T Henderson:Kingsmead:66:0:1.0
G Gambhir:Eden Gardens:35:-1:1.0
S Sreesanth:Dr DY Patil Sports Academy:111:1:1.0
MD Mishra:Vidarbha Cricket Association Stadium, Jamtha:72:0:1.0
SB Jakati:New Wanderers Stadium:118:-1:1.0
SD Chitnis:Punjab Cricket Association Stadium, Mohali:115:-1:1.0
SB Joshi:M Chinnaswamy Stadium:84:-1:1.0
FH Edwards:Newlands:117:3:1.0
M Muralitharan:Sawai Mansingh Stadium:100:-1:1.0
R Dhawan:Barabati Stadium:102:-1:1.0
AB Dinda:Punjab Cricket Association Stadium, Mohali:113:0:1.0
W Jaffer:M Chinnaswamy Stadium:4:-1:1.0
JD Ryder:Sawai Mansingh Stadium:18:-1:1.0
MM Sharma:MA Chidambaram Stadium, Chepauk:120:2:1.0
U Chand:Eden Gardens:1:-1:1.0
RR Bhatkal:MA Chidambaram Stadium, Chepauk:119:-1:1.0
SA Yadav:Eden Gardens:108:-1:1.0
MA Starc:Rajiv Gandhi International Stadium, Uppal:117:1:1.0
A Chandila:Rajiv Gandhi International Stadium, Uppal:120:-1:1.0
Shoaib Akhtar:Wankhede Stadium:92:-1:1.0
I Sharma:Rajiv Gandhi International Stadium, Uppal:119:1:1.0
AJ Finch:Dubai International Cricket Stadium:120:6:1.0
JD Unadkat:Rajiv Gandhi International Stadium, Uppal:119:1:1.0
ML Hayden:Dr DY Patil Sports Academy:52:-1:1.0
Sandeep Sharma:Sheikh Zayed Stadium:119:0:1.0
Shahid Afridi:Sawai Mansingh Stadium:86:-1:1.0
N Saini:MA Chidambaram Stadium, Chepauk:119:-1:1.0
DW Steyn:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:117:-1:1.0
Kamran Akmal:MA Chidambaram Stadium, Chepauk:119:1:1.0
VRV Singh:Punjab Cricket Association Stadium, Mohali:118:0:1.0
CJ McKay:Wankhede Stadium:89:-1:1.0
TM Srivastava:Eden Gardens:120:1:1.0
SPD Smith:Wankhede Stadium:117:-1:1.0
Joginder Sharma:Sawai Mansingh Stadium:89:-1:1.0
MF Maharoof:OUTsurance Oval:102:-1:1.0
JE Taylor:Dr DY Patil Sports Academy:113:1:1.0
JEC Franklin:Wankhede Stadium:112:-1:1.0
LJ Wright:Subrata Roy Sahara Stadium:118:-1:1.0
KK Cooper:Sardar Patel Stadium, Motera:62:-1:1.0
VVS Laxman:MA Chidambaram Stadium, Chepauk:26:1:1.0
RS Bopara:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:119:1:1.0
Mohammed Shami:Feroz Shah Kotla:117:1:1.0
P Awana:Feroz Shah Kotla:120:1:1.0
Shoaib Malik:Feroz Shah Kotla:97:-1:1.0
KL Rahul:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:31:-1:1.0
VY Mahesh:Sawai Mansingh Stadium:118:0:1.0
WD Parnell:Wankhede Stadium:29:-1:1.0
V Pratap Singh:Wankhede Stadium:112:-1:1.0
MS Wade:Feroz Shah Kotla:54:-1:1.0
DT Patil:M Chinnaswamy Stadium:96:4:1.0
UT Yadav:Feroz Shah Kotla:120:4:1.0
RR Powar:M Chinnaswamy Stadium:120:2:1.0
RR Sarwan:Punjab Cricket Association Stadium, Mohali:83:-1:1.0
Anirudh Singh:Barabati Stadium:70:-1:1.0
CA Pujara:Wankhede Stadium:21:-1:1.0
DH Yagnik:Sawai Mansingh Stadium:119:-1:1.0
Q de Kock:Feroz Shah Kotla:15:-1:1.0
Salman Butt:Eden Gardens:79:-1:1.0
J Botha:Feroz Shah Kotla:88:-1:1.0
DA Miller:M Chinnaswamy Stadium:99:-1:1.0
R Shukla:Feroz Shah Kotla:119:1:1.0
RT Ponting:MA Chidambaram Stadium, Chepauk:16:-1:1.0
AB McDonald:M Chinnaswamy Stadium:120:0:1.0
KP Appanna:Kingsmead:116:0:1.0
MJ Clarke:Subrata Roy Sahara Stadium:37:-1:1.0
BA Bhatt:Eden Gardens:120:6:1.0
J Arunkumar:Punjab Cricket Association Stadium, Mohali:13:-1:1.0
AG Paunikar:Sawai Mansingh Stadium:27:-1:1.0
Misbah-ul-Haq:MA Chidambaram Stadium, Chepauk:60:-1:1.0
T Kohli:Feroz Shah Kotla:15:-1:1.0
Mandeep Singh:M Chinnaswamy Stadium:35:-1:1.0
M de Lange:Wankhede Stadium:110:-1:1.0
GJ Maxwell:M Chinnaswamy Stadium:53:-1:1.0
AA Jhunjhunwala:Feroz Shah Kotla:104:-1:1.0
YA Abdulla:Punjab Cricket Association Stadium, Mohali:120:0:1.0
LR Shukla:Eden Gardens:95:-1:1.0
AG Murtaza:Sawai Mansingh Stadium:117:1:1.0
RJ Peterson:Subrata Roy Sahara Stadium:81:-1:1.0
SN Khan:JSCA International Stadium Complex:119:-1:1.0
KK Nair:Brabourne Stadium:108:-1:1.0
MR Marsh:Subrata Roy Sahara Stadium:97:-1:1.0
R Rampaul:Sawai Mansingh Stadium:114:-1:1.0
RN ten Doeschate:Eden Gardens:90:-1:1.0
YS Chahal:M Chinnaswamy Stadium:118:1:1.0
KD Karthik:Feroz Shah Kotla:71:-1:1.0
DJ Harris:M Chinnaswamy Stadium:70:1:1.0
MA Agarwal:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:13:-1:1.0
DB Das:Eden Gardens:76:-1:1.0
JDS Neesham:Punjab Cricket Association Stadium, Mohali:102:-1:1.0
Bipul Sharma:MA Chidambaram Stadium, Chepauk:110:1:1.0
JP Faulkner:Brabourne Stadium:87:-1:1.0
M Klinger:Nehru Stadium:71:-1:1.0
S Vidyut:Sawai Mansingh Stadium:17:-1:1.0
HH Gibbs:MA Chidambaram Stadium, Chepauk:103:1:1.0
AP Tare:Sharjah Cricket Stadium:20:-1:1.0
Ankit Sharma:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:120:-1:1.0
AL Menaria:Sawai Mansingh Stadium:113:-1:1.0
SM Katich:New Wanderers Stadium:26:-1:1.0
DPMD Jayawardene:Nehru Stadium:91:-1:1.0
DS Kulkarni:Sardar Patel Stadium, Motera:115:-1:1.0
Pankaj Singh:St George's Park:119:1:1.0
Shakib Al Hasan:Wankhede Stadium:80:-1:1.0
HH Pandya:Eden Gardens:116:-1:1.0
Yashpal Singh:New Wanderers Stadium:45:-1:1.0
BJ Haddin:Eden Gardens:29:-1:1.0
LPC Silva:Rajiv Gandhi International Stadium, Uppal:80:-1:1.0
SA Asnodkar:De Beers Diamond Oval:53:-1:1.0
AR Patel:M Chinnaswamy Stadium:116:-1:1.0
L Ronchi:Buffalo Park:2:-1:1.0
WPUJC Vaas:Sardar Patel Stadium, Motera:108:-1:1.0
AP Majumdar:Subrata Roy Sahara Stadium:69:-1:1.0
BR Dunk:Wankhede Stadium:19:-1:1.0
R Bhatia:Eden Gardens:93:-1:1.0
PA Patel:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:10:-1:1.0
DT Christian:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:108:-1:1.0
A Ashish Reddy:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:120:2:1.0
SP Fleming:Sawai Mansingh Stadium:5:-1:1.0
Harpreet Singh:Sawai Mansingh Stadium:109:-1:1.0
T Taibu:Eden Gardens:94:-1:1.0
ND Doshi:Holkar Cricket Stadium:111:-1:1.0
MA Khote:Dr DY Patil Sports Academy:119:0:1.0
SMSM Senanayake:Eden Gardens:120:0:1.0
S Rana:Rajiv Gandhi International Stadium, Uppal:120:-1:1.0
AB de Villiers:OUTsurance Oval:44:-1:1.0
UBT Chand:Wankhede Stadium:42:-1:1.0
AC Voges:Eden Gardens:81:-1:1.0
RG Sharma:MA Chidambaram Stadium, Chepauk:120:1:1.0
A Nehra:OUTsurance Oval:120:1:1.0
Harbhajan Singh:Sharjah Cricket Stadium:119:-1:1.0
JO Holder:Eden Gardens:117:-1:1.0
C Madan:Brabourne Stadium:33:-1:1.0
Gurkeerat Singh:Punjab Cricket Association Stadium, Mohali:90:-1:1.0
MS Bisla:Eden Gardens:50:-1:1.0
M Kaif:M Chinnaswamy Stadium:120:2:1.0
Shoaib Ahmed:SuperSport Park:111:-1:1.0
CM Gautam:Wankhede Stadium:53:-1:1.0
SM Harwood:De Beers Diamond Oval:116:1:1.0
R Sharma:Sawai Mansingh Stadium:118:-1:1.0
MK Pandey:Wankhede Stadium:5:-1:1.0
STR Binny:Sawai Mansingh Stadium:68:-1:1.0
DJ Thornely:Rajiv Gandhi International Stadium, Uppal:52:-1:1.0
DR Smith:Sawai Mansingh Stadium:112:-1:1.0
BB McCullum:Nehru Stadium:69:-1:1.0
AB Agarkar:Feroz Shah Kotla:119:1:1.0
SK Raina:Eden Gardens:34:-1:1.0
SM Pollock:Sawai Mansingh Stadium:100:-1:1.0
P Kumar:MA Chidambaram Stadium, Chepauk:120:2:1.0
OA Shah:Sawai Mansingh Stadium:120:2:1.0
V Kohli:Rajiv Gandhi International Stadium, Uppal:105:-1:1.0
WP Saha:Eden Gardens:120:0:1.0
