Karanveer Singh:MA Starc:64:-1:1.0
M Ntini:P Kumar:120:0:1.0
BJ Rohrer:AB Dinda:58:-1:1.0
WA Mota:PP Ojha:95:1:1.0
RR Rossouw:SL Malinga:110:-1:1.0
G Gambhir:WD Parnell:104:-1:1.0
S Sreesanth:A Mishra:96:0:1.0
MD Mishra:KA Pollard:75:-1:1.0
U Kaul:L Balaji:120:0:1.0
W Jaffer:RP Singh:12:4:1.0
SS Shaikh:J Botha:68:1:1.0
SB Joshi:LR Shukla:91:-1:1.0
M Muralitharan:A Symonds:109:-1:1.0
R Dhawan:WD Parnell:118:4:1.0
AB Dinda:KA Pollard:120:1:1.0
SD Chitnis:DW Steyn:97:-1:1.0
JD Ryder:R Vinay Kumar:22:-1:1.0
MM Sharma:SL Malinga:76:-1:1.0
U Chand:S Sreesanth:34:-1:1.0
SA Yadav:MN Samuels:74:-1:1.0
MA Starc:L Balaji:116:-1:1.0
I Sharma:JD Unadkat:119:1:1.0
AJ Finch:R Shukla:20:-1:1.0
H Das:CRD Fernando:113:-1:1.0
JD Unadkat:RA Jadeja:93:1:1.0
ML Hayden:WPUJC Vaas:25:-1:1.0
DPMD Jayawardene:I Sharma:24:-1:1.0
Sandeep Sharma:YS Chahal:82:-1:1.0
Shahid Afridi:DJ Bravo:8:-1:1.0
SP Fleming:A Kumble:80:-1:1.0
J Syed Mohammad:UT Yadav:111:-1:1.0
DW Steyn:AD Russell:119:1:1.0
Kamran Akmal:SM Pollock:18:4:1.0
VRV Singh:L Balaji:119:-1:1.0
TM Srivastava:P Kumar:120:0:1.0
SPD Smith:KV Sharma:80:-1:1.0
S Kaul:DS Kulkarni:116:1:1.0
Joginder Sharma:DP Nannes:117:-1:1.0
MF Maharoof:AB Dinda:96:-1:1.0
Y Gnaneswara Rao:DJ Bravo:40:-1:1.0
Y Venugopal Rao:A Mishra:75:-1:1.0
RR Raje:RP Singh:119:1:1.0
LJ Wright:MM Sharma:41:1:1.0
NJ Maddinson:SL Malinga:18:-1:1.0
KK Cooper:AR Patel:107:-1:1.0
KAJ Roach:Z Khan:102:-1:1.0
VVS Laxman:DJ Bravo:34:1:1.0
RS Bopara:JP Duminy:100:-1:1.0
Mohammed Shami:R Ashwin:86:-1:1.0
P Awana:SL Malinga:114:0:1.0
Shoaib Malik:SM Pollock:85:-1:1.0
KL Rahul:AD Mathews:76:-1:1.0
VY Mahesh:LR Shukla:107:-1:1.0
WD Parnell:RA Jadeja:94:-1:1.0
MS Wade:R Sharma:84:-1:1.0
DT Patil:SK Warne:82:-1:1.0
CK Langeveldt:AB McDonald:120:-1:1.0
DAJ Bracewell:R Vinay Kumar:118:1:1.0
UT Yadav:CH Morris:119:1:1.0
Sandeep Sharma (1):DJG Sammy:120:0:1.0
KMDN Kulasekara:Azhar Mahmood:119:0:1.0
RR Sarwan:SB Bangar:34:1:1.0
Anirudh Singh:LR Shukla:108:-1:1.0
CA Pujara:JP Faulkner:109:1:1.0
DH Yagnik:BA Bhatt:120:1:1.0
Q de Kock:CJ Anderson:42:-1:1.0
Salman Butt:Sohail Tanvir:10:-1:1.0
S Ladda:ST Jayasuriya:96:0:1.0
J Botha:R Sharma:61:-1:1.0
DA Miller:JP Duminy:59:-1:1.0
R Shukla:MA Starc:120:1:1.0
RT Ponting:WPUJC Vaas:13:-1:1.0
AB McDonald:Azhar Mahmood:117:4:1.0
KP Appanna:RJ Harris:118:-1:1.0
MJ Clarke:R Vinay Kumar:23:-1:1.0
BA Bhatt:A Mishra:108:0:1.0
J Arunkumar:Umar Gul:29:-1:1.0
AG Paunikar:DW Steyn:34:-1:1.0
Mandeep Singh:A Mishra:22:-1:1.0
GJ Maxwell:Imran Tahir:54:-1:1.0
AA Jhunjhunwala:Harbhajan Singh:62:-1:1.0
LR Shukla:PP Ojha:112:1:1.0
AG Murtaza:CH Gayle:117:-1:1.0
