BJ Rohrer:JD Unadkat:85:-1:1.0
I Malhotra:AM Salvi:118:1:1.0
WA Mota:TL Suman:97:-1:1.0
T Henderson:LR Shukla:66:0:1.0
G Gambhir:CH Morris:35:-1:1.0
S Sreesanth:AC Thomas:111:1:1.0
MD Mishra:JH Kallis:72:0:1.0
SB Jakati:DP Nannes:118:-1:1.0
SD Chitnis:WD Parnell:115:-1:1.0
SB Joshi:SK Warne:84:-1:1.0
FH Edwards:P Kumar:117:3:1.0
M Muralitharan:Sohail Tanvir:100:-1:1.0
R Dhawan:PP Chawla:102:-1:1.0
AB Dinda:P Awana:113:0:1.0
W Jaffer:S Sreesanth:4:-1:1.0
JD Ryder:J Botha:18:-1:1.0
MM Sharma:NM Coulter-Nile:120:2:1.0
U Chand:B Lee:1:-1:1.0
RR Bhatkal:DE Bollinger:119:-1:1.0
SA Yadav:B Kumar:108:-1:1.0
MA Starc:DW Steyn:117:1:1.0
A Chandila:V Pratap Singh:120:-1:1.0
Shoaib Akhtar:RR Raje:92:-1:1.0
I Sharma:A Singh:119:1:1.0
AJ Finch:JD Unadkat:120:6:1.0
JD Unadkat:I Sharma:119:1:1.0
ML Hayden:KA Pollard:52:-1:1.0
Sandeep Sharma:UT Yadav:119:0:1.0
Shahid Afridi:SK Warne:86:-1:1.0
N Saini:KMDN Kulasekara:119:-1:1.0
DW Steyn:KA Pollard:117:-1:1.0
Kamran Akmal:M Ntini:119:1:1.0
VRV Singh:DS Kulkarni:118:0:1.0
CJ McKay:IK Pathan:89:-1:1.0
TM Srivastava:Umar Gul:120:1:1.0
SPD Smith:MM Patel:117:-1:1.0
Joginder Sharma:MM Patel:89:-1:1.0
MF Maharoof:B Lee:102:-1:1.0
JE Taylor:DE Bollinger:113:1:1.0
JEC Franklin:A Singh:112:-1:1.0
LJ Wright:S Kaul:118:-1:1.0
KK Cooper:JP Duminy:62:-1:1.0
VVS Laxman:R Ashwin:26:1:1.0
RS Bopara:TG Southee:119:1:1.0
Mohammed Shami:AR Patel:117:1:1.0
P Awana:VR Aaron:120:1:1.0
Shoaib Malik:DW Steyn:97:-1:1.0
KL Rahul:DS Kulkarni:31:-1:1.0
VY Mahesh:SR Watson:118:0:1.0
WD Parnell:MM Patel:29:-1:1.0
V Pratap Singh:SL Malinga:112:-1:1.0
MS Wade:MR Marsh:54:-1:1.0
DT Patil:PP Chawla:96:4:1.0
UT Yadav:NLTC Perera:120:4:1.0
RR Powar:A Mithun:120:2:1.0
RR Sarwan:A Nehra:83:-1:1.0
Anirudh Singh:Bipul Sharma:70:-1:1.0
CA Pujara:CJ Anderson:21:-1:1.0
DH Yagnik:SL Malinga:119:-1:1.0
Q de Kock:UT Yadav:15:-1:1.0
Salman Butt:VY Mahesh:79:-1:1.0
J Botha:BA Bhatt:88:-1:1.0
DA Miller:VR Aaron:99:-1:1.0
R Shukla:DW Steyn:119:1:1.0
RT Ponting:JDP Oram:16:-1:1.0
AB McDonald:R Vinay Kumar:120:0:1.0
KP Appanna:YA Abdulla:116:0:1.0
MJ Clarke:STR Binny:37:-1:1.0
BA Bhatt:SP Narine:120:6:1.0
J Arunkumar:S Sreesanth:13:-1:1.0
AG Paunikar:Shakib Al Hasan:27:-1:1.0
Misbah-ul-Haq:L Balaji:60:-1:1.0
T Kohli:GD McGrath:15:-1:1.0
Mandeep Singh:HV Patel:35:-1:1.0
M de Lange:Imran Tahir:110:-1:1.0
GJ Maxwell:YS Chahal:53:-1:1.0
AA Jhunjhunwala:M Morkel:104:-1:1.0
YA Abdulla:PJ Sangwan:120:0:1.0
LR Shukla:RA Jadeja:95:-1:1.0
AG Murtaza:SR Watson:117:1:1.0
RJ Peterson:A Nehra:81:-1:1.0
SN Khan:DJ Bravo:119:-1:1.0
KK Nair:UT Yadav:108:-1:1.0
MR Marsh:RJ Harris:97:-1:1.0
